Freq (Hz),Vpp Out,Vpp In,Vpp Out,Vpp In,Y intercept,Ymax,Quadrant,,Freq (rad/sec),Magnitude,Magnitude,Phase 1 (CW),Phase 2 (CCW),,Suitable,Phase
1320,5.84,0.864,6.32,0.552,3,3,CIRCLE,,8293.804605,16.59798209,21.17556001,90,270,,-90,-270
1400,6.16,0.9,6.96,0.552,2.4,2.6,"2,4",,8796.45943,16.70676405,22.01340324,112.6198649,202.6198649,,-112.6198649,-292.6198649
1700,4.04,1.02,4.4,0.584,0.4,1.2,"2,4",,10681.41502,11.95562387,17.54079659,160.5287794,250.5287794,,-160.5287794,-340.5287794
2000,3.12,1.02,3.28,0.552,,,LINE,,12566.37061,9.711088445,15.47869532,0,180,,-180,-360
2500,2.12,1.02,2.4,0.584,0.6,1.2,"2,4",,15707.96327,6.354713783,12.27596789,150,240,,-240,-420
3180,1.76,0.96,1.92,0.632,1,1,CIRCLE,,19980.52928,5.264828695,9.651683008,90,270,,-270,-450
3400,2.24,1.18,1.84,0.616,0.4,1.2,"1,3",,21362.83004,5.567320221,9.504742217,19.47122063,340.5287794,,-340.5287794,-520.5287794
3500,1.72,0.8,1.28,0.624,,,LINE,,21991.14858,6.648769198,6.240507599,0,180,,-360,-540
3600,1.04,0.86,0.62,0.616,0.4,1,"1,3",,22619.46711,1.650697761,0.05621954668,23.57817848,336.4218215,,-383.5781785,-563.5781785
3800,0.808,2.08,0.5,0.8,,,CIRCLE,,23876.10417,-8.213039484,-4.082399653,90,270,,-450,-630
4000,0.664,1.04,0.42,0.616,0.8,1.8,"2,4",,25132.74123,-3.897305199,-3.326628435,153.6122,243.6122,,-513.6122,-693.6122
4230,1.02,1.1,1.12,0.96,,,"2,4 LINE",,26577.87385,-0.6558502679,1.338935793,0,180,,-540,-720
4500,2.68,1.14,2.8,0.96,0.2,1.4,"2,4",,28274.33388,7.424598854,9.297735966,171.7867893,261.7867893,,-531.7867893,-711.7867893
4730,1.68,1.12,1.5,0.98,,,CIRCLE,,29719.4665,3.521825181,3.697303667,90,270,,-630,-810
4900,0.88,1.12,0.98,1.06,0.6,0.8,"2,4",,30787.60801,-2.09470701,-0.6815957914,131.4096221,221.4096221,,-581.4096221,-761.4096221
5000,1.22,1.12,1.36,1.08,,,"2,4 LINE",,31415.92654,0.7428361601,2.002303058,0,180,,-540,-720
5300,3.94,1.12,2.36,0.8,0.8,1.2,"2,4",,33300.88213,10.92556398,9.39644032,138.1896851,228.1896851,,-588.1896851,-768.1896851
5590,4.72,1.1,2.76,0.8,,,CIRCLE,,35123.00587,12.65098627,10.7563819,90,270,,-630,-810
6000,6.48,1.2,3.72,0.82,1,1.6,"1,3",,37699.11184,14.6478752,13.13458175,38.68218745,321.3178125,,-681.3178125,-861.3178125
6310,3.68,0.872,4.46,0.8,,,"1,3 LINE",,39646.89929,12.50662667,14.92489743,0,180,,-720,-900
6500,3.52,0.568,4.16,0.8,0.8,1.8,"1,3",,40840.7045,15.84388656,14.32006687,26.38779996,333.6122,,-746.3878,-926.3878
6970,2.12,0.568,2.32,0.82,,,CIRCLE,,43793.80159,11.4397505,9.03348265,90,270,,-810,-990
7400,1.12,0.576,1.22,0.78,0.6,1,"2,4",,46495.57127,5.775910785,3.88530456,143.1301024,233.1301024,,-953.1301024,-1133.130102
8000,1.08,1.08,0.66,0.78,,,,,50265.48246,0,-1.451013343,,,,,
9000,0.256,2.08,0.184,1.04,,,,,56548.66776,-18.19646739,-15.04431033,,,,,
10000,0.216,1.1,0.172,1.04,,,,,62831.85307,-14.13877868,-15.63009785,,,,,
11000,0.36,1.08,0.412,1.04,,,,,69115.03838,-9.542425094,-8.042722465,,,,,
12000,0.408,1.08,0.376,1.04,,,,,75398.22369,-8.455271848,-8.836909887,,,,,
